"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /orders/addItem",395968,1900,2000,2100,2200,2500,7700,8300,8800,122000
"POST /orders/checkout",109814,5000,5700,6800,10000,12000,18000,36000,44000,122000
"POST /orders/create",500620,780,910,1000,1100,1400,2000,3300,5400,130000
"GET /orders/find/",125363,2000,2100,2200,2300,2700,8000,8500,32000,122000
"DELETE /orders/remove",232739,790,900,970,1000,1200,1300,1500,1700,15000
"DELETE /orders/removeItem/",59444,1800,1900,2000,2100,2500,7900,8300,32000,122000
"POST /redis/stock/item/create",574583,710,840,920,970,1100,1200,1400,1700,18000
"POST /redis/users/create",58204,1500,2300,3000,4000,13000,30000,53000,67000,135000
"POST /stock/add",573421,480,580,650,680,790,930,1200,1500,3400
"GET /stock/item/availability",53672,2000,2700,3600,4600,12000,24000,48000,64000,135000
"POST /users/credit/add/",57885,690,840,920,970,1100,1200,1400,1600,17000
"Total",2741713,820,1100,1700,1900,2300,4400,8400,12000,135000
