"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /orders/addItem",311933,1000,1000,1000,1000,1100,1300,1600,2200,64000
"POST /orders/checkout",117890,3100,3300,3800,4100,5100,6800,9300,10000,41000
"POST /orders/create",329041,170,260,310,340,470,720,1500,1900,9400
"GET /orders/find/",121917,1000,1000,1000,1100,1200,1600,2300,3100,33000
"DELETE /orders/remove",158887,69,150,190,220,300,360,440,500,1600
"DELETE /orders/removeItem/",82537,1000,1000,1100,1100,1200,1700,2500,3100,32000
"POST /redis/stock/item/create",358562,180,270,310,350,430,490,560,620,1200
"POST /redis/users/create",39185,34,190,330,410,700,1000,1200,1700,4500
"POST /stock/add",358316,140,200,230,250,310,370,440,490,1100
"GET /stock/item/availability",34000,450,650,810,910,1300,1700,2100,2300,4700
"POST /users/credit/add/",34279,200,280,320,350,430,490,560,600,960
"Total",1946547,210,330,520,1000,1100,2100,3400,4400,64000
