"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /orders/addItem",173125,1200,1800,1900,2000,2400,2900,3800,7900,66000
"POST /orders/checkout",60734,4900,5800,6500,7000,8900,11000,12000,14000,70000
"POST /orders/create",209897,640,830,950,1100,1300,1700,2600,4300,80000
"GET /orders/find/",61440,1700,1900,2000,2100,2500,3000,4300,8000,66000
"DELETE /orders/remove",96723,660,810,910,980,1200,1300,1500,1700,2700
"DELETE /orders/removeItem/",54156,1600,1800,1900,2000,2400,3000,4000,7800,65000
"POST /redis/stock/item/create",331306,410,630,780,850,1100,1300,2400,4200,63000
"POST /redis/users/create",31451,540,1100,1600,2000,3500,8200,19000,28000,67000
"POST /stock/add",329576,290,420,520,580,720,890,1100,1300,2100
"GET /stock/item/availability",23248,750,1500,1900,2200,3500,6100,13000,23000,64000
"POST /users/credit/add/",24502,1900,2500,3100,3700,7500,16000,28000,35000,69000
"Total",1396158,600,870,1100,1400,2100,3600,6600,8800,80000
