"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /orders/addItem",137576,1600,1700,1700,1800,1900,2000,2100,2200,4400
"POST /orders/checkout",38969,5900,6800,7400,7800,8800,10000,14000,15000,40000
"POST /orders/create",213692,450,520,590,640,830,1100,1700,2300,27000
"GET /orders/find/",46700,1700,1700,1800,1800,1900,2000,2100,2200,4100
"DELETE /orders/remove",90649,480,530,580,610,710,810,940,1000,1700
"DELETE /orders/removeItem/",41030,1600,1600,1700,1700,1800,1900,2000,2000,3500
"POST /redis/stock/item/create",295248,380,470,530,570,750,1000,1800,2200,32000
"POST /redis/users/create",27618,970,1300,1600,1800,2300,3400,7200,11000,36000
"POST /stock/add",294311,270,340,380,400,480,600,740,820,1600
"GET /stock/item/availability",24115,390,480,540,600,1000,2000,3200,4600,27000
"POST /users/credit/add/",24859,1500,2000,2300,2400,3300,5600,10000,14000,36000
"Total",1234767,450,600,910,1500,1700,2100,5800,7400,40000
