"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /orders/addItem",217216,1700,1800,1900,1900,2100,2200,2300,2400,3500
"POST /orders/checkout",79102,6100,7200,7600,8000,9000,10000,13000,15000,73000
"POST /orders/create",260471,560,750,870,940,1200,1600,2600,4300,113000
"GET /orders/find/",74181,1800,1900,2000,2000,2100,2200,2400,2500,3400
"DELETE /orders/remove",121409,570,720,820,880,1000,1200,1300,1400,2100
"DELETE /orders/removeItem/",65475,1700,1800,1900,1900,2000,2100,2200,2300,2900
"POST /redis/stock/item/create",417037,460,660,820,910,1100,1400,2800,5700,104000
"POST /redis/users/create",36005,650,1300,1900,2400,5100,15000,34000,48000,114000
"POST /stock/add",415176,290,400,490,560,720,840,1000,1100,2000
"GET /stock/item/availability",28307,960,1800,2200,2500,4100,7300,17000,29000,111000
"POST /users/credit/add/",29871,2000,2800,3600,4400,11000,23000,46000,59000,111000
"Total",1744250,600,940,1400,1700,2000,4300,7500,9300,114000
