"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /orders/addItem",187840,1800,1900,2000,2000,2100,2300,2400,2500,3400
"POST /orders/checkout",64684,7200,8100,8900,9300,11000,14000,16000,19000,76000
"POST /orders/create",243111,570,770,900,990,1300,1700,2600,4000,78000
"GET /orders/find/",68103,1900,2000,2000,2100,2200,2300,2500,2600,3400
"DELETE /orders/remove",105332,600,770,870,930,1100,1300,1400,1600,2300
"DELETE /orders/removeItem/",60328,1800,1900,1900,2000,2100,2200,2400,2500,3200
"POST /redis/stock/item/create",399674,410,640,830,920,1200,1400,2400,4000,79000
"POST /redis/users/create",37031,610,1200,1700,2100,3600,8000,18000,28000,71000
"POST /stock/add",398455,260,380,480,550,720,860,1100,1200,2300
"GET /stock/item/availability",30574,680,1500,1900,2200,3400,5500,13000,22000,77000
"POST /users/credit/add/",32466,1900,2500,3000,3600,6600,13000,25000,34000,77000
"Total",1627598,580,950,1500,1700,2100,3700,8000,10000,79000
