"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /orders/addItem",107748,790,1000,1400,1800,2200,2500,2700,2800,3800
"POST /orders/checkout",20593,5500,7400,8400,8800,9800,10000,11000,12000,17000
"POST /orders/create",139380,470,630,750,850,1100,1300,1500,1600,3000
"GET /orders/find/",33171,1400,2300,2700,2900,3300,3500,3700,3900,5000
"DELETE /orders/remove",63513,610,750,870,960,1200,1300,1500,1700,3100
"DELETE /orders/removeItem/",17733,1200,1700,1900,2000,2200,2400,2600,2700,3800
"POST /sql/stock/item/create",186393,410,650,900,1000,1300,1400,1600,1800,3000
"POST /sql/users/create",21140,540,800,940,1000,1200,1300,1500,1600,3000
"POST /stock/add",184440,380,600,850,990,1200,1400,1500,1700,2900
"GET /stock/item/availability",14730,370,510,640,740,1100,1300,1500,1600,2900
"POST /users/credit/add/",14866,390,540,680,780,1000,1200,1400,1600,2600
"Total",803707,560,820,1000,1100,1500,2300,4200,6400,17000
