"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /orders/addItem",205612,1700,2400,2800,3100,3700,4200,4700,5000,13000
"POST /orders/checkout",57151,9100,10000,11000,11000,13000,15000,18000,20000,74000
"POST /orders/create",251380,1200,1700,2000,2100,2500,3000,4200,7100,186000
"GET /orders/find/",66241,2900,3600,3900,4200,4900,5300,5700,6100,8000
"DELETE /orders/remove",116264,1200,1600,1900,2000,2400,2600,2900,3200,5000
"DELETE /orders/removeItem/",58156,2100,2700,3000,3200,3700,4100,4600,4900,6200
"POST /sql/stock/item/create",433538,860,1100,1200,1300,1500,1800,2400,3700,188000
"POST /sql/users/create",43583,190,1000,1800,2500,8800,30000,69000,90000,190000
"POST /stock/add",429234,680,860,1000,1100,1400,1500,1700,1900,2900
"GET /stock/item/availability",28088,1900,2600,3400,4000,7600,18000,45000,71000,185000
"POST /users/credit/add/",29651,3500,6000,11000,14000,37000,74000,98000,125000,200000
"Total",1718898,1000,1400,1800,2100,3300,5100,10000,14000,200000
